word,frequency,zipf_score,doc_frequency,doc_ratio,corpus_importance,domain_specificity
under,298,5.73,10,0.909,0.5261,47.2791
case,198,5.55,10,0.909,0.3496,32.4324
made,163,5.92,10,0.909,0.2878,25.0307
high,137,5.75,9,0.818,0.2419,19.4941
such,131,5.84,10,0.909,0.2313,20.3923
may,130,5.98,10,0.909,0.2295,19.7628
before,120,5.93,10,0.909,0.2118,18.3964
should,97,5.99,10,0.909,0.1712,14.7215
same,86,5.8,10,0.909,0.1518,13.4796
being,85,5.95,10,0.909,0.1501,12.987
against,82,5.68,10,0.909,0.1448,13.1242
state,80,5.78,9,0.818,0.1412,11.3243
those,69,5.9,9,0.818,0.1218,9.5686
government,69,5.57,10,0.909,0.1218,11.2616
person,66,5.55,8,0.727,0.1165,8.6486
right,64,5.96,9,0.818,0.113,8.7858
year,60,5.96,9,0.818,0.1059,8.2367
even,60,5.99,9,0.818,0.1059,8.1955
each,52,5.69,8,0.727,0.0918,6.6464
days,52,5.61,4,0.364,0.0918,3.3706
during,50,5.72,9,0.818,0.0883,7.1519
does,49,5.74,10,0.909,0.0865,7.7605
however,48,5.58,8,0.727,0.0847,6.2561
years,48,5.96,8,0.727,0.0847,5.8572
power,47,5.52,5,0.455,0.083,3.8702
must,47,5.68,10,0.909,0.083,7.5224
without,43,5.69,10,0.909,0.0759,6.8701
did,43,5.96,9,0.818,0.0759,5.903
day,41,5.95,5,0.455,0.0724,3.1322
having,40,5.59,10,0.909,0.0706,6.5051
work,39,5.96,5,0.455,0.0689,2.9744
part,39,5.78,9,0.818,0.0689,5.5206
different,39,5.59,6,0.545,0.0689,3.8055
while,39,5.86,9,0.818,0.0689,5.4452
both,38,5.79,9,0.818,0.0671,5.3698
second,37,5.63,10,0.909,0.0653,5.9745
life,37,5.89,4,0.364,0.0653,2.2843
read,37,5.54,5,0.455,0.0653,3.0358
number,36,5.62,6,0.545,0.0636,3.494
used,34,5.8,7,0.636,0.06,3.7304
company,33,5.6,3,0.273,0.0583,1.6071
point,33,5.54,7,0.636,0.0583,3.7906
give,32,5.71,8,0.727,0.0565,4.0758
including,31,5.52,8,0.727,0.0547,4.0843
take,30,5.92,8,0.727,0.053,3.6855
set,30,5.59,9,0.818,0.053,4.391
already,29,5.55,9,0.818,0.0512,4.2752
another,28,5.74,9,0.818,0.0494,3.9911
between,27,5.77,7,0.636,0.0477,2.9778
three,27,5.78,9,0.818,0.0477,3.822
own,25,5.74,8,0.727,0.0441,3.1676
full,25,5.54,8,0.727,0.0441,3.2819
put,25,5.66,5,0.455,0.0441,2.0077
though,25,5.5,9,0.818,0.0441,3.719
public,25,5.57,5,0.455,0.0441,2.0402
