case_num,doc_type,layman,budding_lawyer,advocate
1,Original Judgement,48.6451,37.6748,13.6801
1,Ground Truth,45.4701,41.3675,13.1624
1,LockNKey,45.4395,41.6252,12.9353
2,Original Judgement,36.5337,42.5187,20.9476
2,Ground Truth,30.1205,42.1687,27.7108
2,LockNKey,32.1229,41.6201,26.257
3,Original Judgement,43.2916,46.6905,10.0179
3,Ground Truth,42.1405,45.4849,12.3746
3,LockNKey,41.7618,46.0033,12.2349
4,Original Judgement,44.7912,45.5385,9.6703
4,Ground Truth,47.2167,43.0417,9.7416
4,LockNKey,47.7928,41.8468,10.3604
5,Original Judgement,41.5009,45.6894,12.8098
5,Ground Truth,42.3892,45.4721,12.1387
5,LockNKey,42.8843,45.5408,11.575
6,Original Judgement,45.0094,38.8418,16.1488
6,Ground Truth,39.8973,40.411,19.6918
6,LockNKey,39.9421,41.9682,18.0897
7,Original Judgement,45.7588,41.8927,12.3485
7,Ground Truth,46.9933,41.6481,11.3586
7,LockNKey,45.4955,41.2162,13.2883
8,Original Judgement,50.5114,39.5455,9.9432
8,Ground Truth,47.0126,38.9937,13.9937
8,LockNKey,47.9263,38.2488,13.8249
9,Original Judgement,41.2207,42.7245,16.0548
9,Ground Truth,39.7317,43.8596,16.4087
9,LockNKey,39.2157,43.3679,17.4164
10,Original Judgement,43.7717,45.5115,10.7168
10,Ground Truth,40.4063,46.5011,13.0926
10,LockNKey,40.0839,46.7996,13.1165
11,Original Judgement,53.8803,41.2417,4.878
11,Ground Truth,55.3846,41.4201,3.1953
11,LockNKey,54.8942,41.4021,3.7037
12,Original Judgement,48.6976,43.6014,7.701
12,Ground Truth,49.0849,45.9235,4.9917
12,LockNKey,50.0,44.8012,5.1988
13,Original Judgement,52.9635,39.0232,8.0133
13,Ground Truth,52.8233,38.0692,9.1075
13,LockNKey,53.211,37.7982,8.9908
14,Original Judgement,44.7979,45.6594,9.5427
14,Ground Truth,47.7807,45.4308,6.7885
14,LockNKey,47.3552,46.0957,6.5491
15,Original Judgement,48.3284,44.9853,6.6863
