case_num,case_id,doc_type,layman_score_pct,budding_lawyer_pct,advocate_pct,proposed_avg
1,1953_L_1,Original Judgement,47.3996,35.222,17.3784,33.3333
1,1953_L_1,Ground Truth Summary,43.4022,37.3609,19.2369,33.3333
1,1953_L_1,LockNKey Summary,42.638,38.0368,19.3252,33.3333
2,1953_S_23,Original Judgement,35.9385,41.6,22.4615,33.3333
2,1953_S_23,Ground Truth Summary,28.9855,39.7101,31.3043,33.3333
2,1953_S_23,LockNKey Summary,30.9973,39.3531,29.6496,33.3333
3,1954_M_25,Original Judgement,42.2759,44.3986,13.3255,33.3333
3,1954_M_25,Ground Truth Summary,40.9756,42.7642,16.2602,33.3333
3,1954_M_25,LockNKey Summary,40.2536,43.7401,16.0063,33.3333
4,1963_S_59,Original Judgement,45.8002,42.6196,11.5802,33.3333
4,1963_S_59,Ground Truth Summary,47.7033,39.5694,12.7273,33.3333
4,1963_S_59,LockNKey Summary,48.3717,38.4281,13.2002,33.3333
5,1971_S_1,Original Judgement,40.784,43.7414,15.4746,33.3333
5,1971_S_1,Ground Truth Summary,39.7032,44.898,15.3989,33.3334
5,1971_S_1,LockNKey Summary,40.367,45.1376,14.4954,33.3333
6,1973_S_68,Original Judgement,44.1122,37.1665,18.7213,33.3333
6,1973_S_68,Ground Truth Summary,37.6414,38.4491,23.9095,33.3333
6,1973_S_68,LockNKey Summary,37.5171,40.2456,22.2374,33.3334
7,1976_T_9,Original Judgement,44.3252,40.0903,15.5844,33.3333
7,1976_T_9,Ground Truth Summary,42.2998,39.0144,18.6858,33.3333
7,1976_T_9,LockNKey Summary,40.5405,39.0852,20.3742,33.3333
8,1977_P_19,Original Judgement,51.9866,37.6049,10.4085,33.3333
8,1977_P_19,Ground Truth Summary,46.8182,38.7879,14.3939,33.3333
8,1977_P_19,LockNKey Summary,47.5556,38.0741,14.3704,33.3334
9,1978_M_13,Original Judgement,41.1533,41.197,17.6496,33.3333
9,1978_M_13,Ground Truth Summary,39.8167,41.5479,18.6354,33.3333
9,1978_M_13,LockNKey Summary,38.9078,41.0694,20.0228,33.3333
10,1980_W_3,Original Judgement,41.1221,45.9459,12.9319,33.3333
10,1980_W_3,Ground Truth Summary,37.8289,46.8202,15.3509,33.3333
10,1980_W_3,LockNKey Summary,37.6782,47.0468,15.2749,33.3333
11,1987_C_108,Original Judgement,45.5936,41.3403,13.0661,33.3333
11,1987_C_108,Ground Truth Summary,46.7009,40.3599,12.9392,33.3333
11,1987_C_108,LockNKey Summary,46.2335,40.0188,13.7476,33.3333
12,1987_M_123,Original Judgement,40.8537,42.0263,17.1201,33.3334
12,1987_M_123,Ground Truth Summary,41.2399,43.3962,15.3639,33.3333
12,1987_M_123,LockNKey Summary,42.3221,42.3221,15.3558,33.3333
13,1987_S_26,Original Judgement,45.587,38.9879,15.4251,33.3333
13,1987_S_26,Ground Truth Summary,45.3704,38.5802,16.0494,33.3333
13,1987_S_26,LockNKey Summary,45.9375,39.5312,14.5312,33.3333
14,1989_A_55,Original Judgement,39.8745,44.2099,15.9156,33.3333
14,1989_A_55,Ground Truth Summary,40.9692,44.7137,14.3172,33.3334
14,1989_A_55,LockNKey Summary,40.8511,44.8936,14.2553,33.3333
15,1994_M_69,Original Judgement,41.4614,44.6764,13.8622,33.3333
15,1994_M_69,Ground Truth Summary,40.9513,43.7355,15.3132,33.3333
15,1994_M_69,LockNKey Summary,41.185,42.1965,16.6185,33.3333
16,1994_S_246,Original Judgement,38.3029,45.007,16.6901,33.3333
16,1994_S_246,Ground Truth Summary,32.7801,49.6542,17.5657,33.3333
16,1994_S_246,LockNKey Summary,32.5284,49.0057,18.4659,33.3333
17,1995_S_317,Original Judgement,36.6179,44.5353,18.8468,33.3333
17,1995_S_317,Ground Truth Summary,33.2112,43.2234,23.5653,33.3333
17,1995_S_317,LockNKey Summary,33.1429,45.5714,21.2857,33.3333
18,1996_B_72,Original Judgement,41.9194,35.1069,22.9736,33.3333
18,1996_B_72,Ground Truth Summary,42.449,31.4286,26.1224,33.3333
18,1996_B_72,LockNKey Summary,42.5157,31.5723,25.9119,33.3333
19,1996_T_169,Original Judgement,47.9114,37.695,14.3936,33.3333
19,1996_T_169,Ground Truth Summary,46.0984,40.3361,13.5654,33.3333
19,1996_T_169,LockNKey Summary,45.3782,40.1961,14.4258,33.3334
20,2000_C_151,Original Judgement,43.5852,44.1554,12.2594,33.3333
20,2000_C_151,Ground Truth Summary,41.675,44.2672,14.0578,33.3333
20,2000_C_151,LockNKey Summary,41.2229,46.2525,12.5247,33.3334
21,2000_V_80,Original Judgement,42.874,39.0302,18.0958,33.3333
21,2000_V_80,Ground Truth Summary,38.1872,41.159,20.6538,33.3333
21,2000_V_80,LockNKey Summary,39.6285,41.1765,19.195,33.3333
22,2001_A_234,Original Judgement,39.015,41.8238,19.1612,33.3333
22,2001_A_234,Ground Truth Summary,35.8757,41.8079,22.3164,33.3333
22,2001_A_234,LockNKey Summary,35.6397,41.3838,22.9765,33.3333
23,2001_S_1131,Original Judgement,44.1538,38.8681,16.9781,33.3333
23,2001_S_1131,Ground Truth Summary,42.9217,35.6928,21.3855,33.3333
23,2001_S_1131,LockNKey Summary,44.9511,36.9707,18.0782,33.3333
24,2004_C_129,Original Judgement,43.5644,42.4451,13.9905,33.3333
24,2004_C_129,Ground Truth Summary,42.9074,43.728,13.3646,33.3333
24,2004_C_129,LockNKey Summary,42.3037,43.6649,14.0314,33.3333
25,2004_I_24,Original Judgement,42.554,41.1511,16.295,33.3334
25,2004_I_24,Ground Truth Summary,39.6552,45.1149,15.2299,33.3333
25,2004_I_24,LockNKey Summary,40.0279,46.583,13.3891,33.3333
26,2005_S_388,Original Judgement,41.3855,45.241,13.3735,33.3333
26,2005_S_388,Ground Truth Summary,42.0622,43.3715,14.5663,33.3333
26,2005_S_388,LockNKey Summary,41.5094,43.0818,15.4088,33.3333
27,2006_A_136,Original Judgement,42.0125,40.1331,17.8543,33.3333
27,2006_A_136,Ground Truth Summary,39.2962,42.5953,18.1085,33.3333
27,2006_A_136,LockNKey Summary,39.3594,42.4911,18.1495,33.3333
28,2006_A_36,Original Judgement,39.0337,42.1824,18.7839,33.3333
28,2006_A_36,Ground Truth Summary,39.5604,42.8571,17.5824,33.3333
28,2006_A_36,LockNKey Summary,38.1426,43.6153,18.2421,33.3333
29,2007_B_76,Original Judgement,42.0534,42.3347,15.6118,33.3333
29,2007_B_76,Ground Truth Summary,45.9036,39.2771,14.8193,33.3333
29,2007_B_76,LockNKey Summary,46.1415,39.3891,14.4695,33.3334
30,2007_C_121,Original Judgement,44.78,39.7465,15.4735,33.3333
30,2007_C_121,Ground Truth Summary,41.3265,36.6327,22.0408,33.3333
30,2007_C_121,LockNKey Summary,40.6731,38.2692,21.0577,33.3333
31,2007_S_608,Original Judgement,44.9889,36.3029,18.7082,33.3333
31,2007_S_608,Ground Truth Summary,45.5319,36.8085,17.6596,33.3333
31,2007_S_608,LockNKey Summary,45.6389,37.7282,16.6329,33.3333
32,2007_S_632,Original Judgement,39.7516,43.6335,16.6149,33.3333
32,2007_S_632,Ground Truth Summary,41.0745,43.8475,15.078,33.3333
32,2007_S_632,LockNKey Summary,40.5405,44.8331,14.6264,33.3333
33,2007_U_18,Original Judgement,42.2995,38.269,19.4315,33.3333
33,2007_U_18,Ground Truth Summary,43.3754,38.0126,18.612,33.3333
33,2007_U_18,LockNKey Summary,42.9652,37.9728,19.062,33.3333
34,2008_A_260,Original Judgement,44.4488,45.5512,10.0,33.3333
34,2008_A_260,Ground Truth Summary,43.1172,44.7099,12.1729,33.3333
34,2008_A_260,LockNKey Summary,43.4831,44.4944,12.0225,33.3333
35,2008_C_166,Original Judgement,41.7471,40.4923,17.7606,33.3333
35,2008_C_166,Ground Truth Summary,40.6824,40.6824,18.6352,33.3333
35,2008_C_166,LockNKey Summary,36.5471,40.1345,23.3184,33.3333
36,2008_I_54,Original Judgement,41.4595,44.9189,13.6216,33.3333
36,2008_I_54,Ground Truth Summary,43.5252,42.8058,13.6691,33.3334
36,2008_I_54,LockNKey Summary,43.1438,43.311,13.5452,33.3333
37,2008_P_8,Original Judgement,44.8964,37.8698,17.2337,33.3333
37,2008_P_8,Ground Truth Summary,42.8139,39.9395,17.2466,33.3333
37,2008_P_8,LockNKey Summary,45.9837,36.9034,17.1129,33.3333
38,2008_S_1411,Original Judgement,41.0079,42.8195,16.1726,33.3333
38,2008_S_1411,Ground Truth Summary,42.0814,38.8009,19.1176,33.3333
38,2008_S_1411,LockNKey Summary,42.0498,41.7625,16.1877,33.3333
39,2008_S_549,Original Judgement,45.385,34.0797,20.5352,33.3333
39,2008_S_549,Ground Truth Summary,46.055,34.4954,19.4495,33.3333
39,2008_S_549,LockNKey Summary,45.515,34.2193,20.2658,33.3334
40,2009_B_16,Original Judgement,41.7433,41.8747,16.382,33.3333
40,2009_B_16,Ground Truth Summary,36.4061,43.7573,19.8366,33.3333
40,2009_B_16,LockNKey Summary,36.1364,43.9773,19.8864,33.3334
41,2009_S_146,Original Judgement,45.9474,39.5789,14.4737,33.3333
41,2009_S_146,Ground Truth Summary,44.1833,40.423,15.3937,33.3333
41,2009_S_146,LockNKey Summary,46.1029,37.3529,16.5441,33.3333
42,2010_J_55,Original Judgement,41.7259,38.3323,19.9418,33.3333
42,2010_J_55,Ground Truth Summary,43.3225,35.9392,20.7383,33.3333
42,2010_J_55,LockNKey Summary,43.3225,35.9392,20.7383,33.3333
