case_num,case_id,fog_orig_judgement,fog_ground_truth,fog_locknkey,fog_level_oj,fog_level_gt,fog_level_lk,smog_orig_judgement,smog_ground_truth,smog_locknkey,smog_level_oj,smog_level_gt,smog_level_lk
1,1953_L_1,18.4005,17.747,17.5627,Very Hard,Very Hard,Very Hard,14.6569,14.5777,14.5931,Hard,Hard,Hard
2,1953_S_23,17.0691,16.7469,16.3146,Very Hard,Hard,Hard,14.3447,14.4564,14.1484,Hard,Hard,Hard
3,1954_M_25,19.2927,17.3812,17.0307,Very Hard,Very Hard,Very Hard,15.6823,14.5501,14.4018,Hard,Hard,Hard
4,1963_S_59,17.3747,12.2894,12.1885,Very Hard,Hard,Hard,14.4556,11.4096,11.3427,Hard,Acceptable,Acceptable
5,1971_S_1,19.2911,17.9953,16.7715,Very Hard,Very Hard,Hard,15.5116,14.8218,14.1316,Hard,Hard,Hard
6,1973_S_68,20.4687,18.8341,18.3835,Very Hard,Very Hard,Very Hard,15.7279,15.3828,15.0416,Hard,Hard,Hard
7,1976_T_9,17.906,15.071,15.9592,Very Hard,Hard,Hard,15.07,13.3158,13.9265,Hard,Hard,Hard
8,1977_P_19,24.2371,26.8772,26.587,Very Hard,Very Hard,Very Hard,17.8641,19.3639,19.1688,Very Hard,Very Hard,Very Hard
9,1978_M_13,30.9606,28.3348,26.7951,Very Hard,Very Hard,Very Hard,20.6173,19.7102,19.2384,Very Hard,Very Hard,Very Hard
10,1980_W_3,19.6425,20.0325,19.7989,Very Hard,Very Hard,Very Hard,16.0365,16.3429,16.2485,Very Hard,Very Hard,Very Hard
11,1987_C_108,19.6654,17.4682,17.4379,Very Hard,Very Hard,Very Hard,16.214,14.9435,14.9272,Very Hard,Hard,Hard
12,1987_M_123,17.479,18.6952,18.7255,Very Hard,Very Hard,Very Hard,14.3826,15.0,15.0185,Hard,Hard,Hard
13,1987_S_26,17.1798,16.5439,17.6295,Very Hard,Hard,Very Hard,14.2966,14.005,14.5109,Hard,Hard,Hard
14,1989_A_55,18.7824,18.8644,18.5703,Very Hard,Very Hard,Very Hard,15.3762,15.2474,15.1321,Hard,Hard,Hard
15,1994_M_69,23.0542,22.0606,22.1871,Very Hard,Very Hard,Very Hard,16.3429,15.9099,15.682,Very Hard,Hard,Hard
16,1994_S_246,19.524,22.2171,22.2877,Very Hard,Very Hard,Very Hard,16.1673,17.8083,17.7912,Very Hard,Very Hard,Very Hard
17,1995_S_317,19.111,16.9877,17.807,Very Hard,Hard,Very Hard,15.6138,14.2969,14.7072,Hard,Hard,Hard
18,1996_B_72,25.0798,23.6769,23.5086,Very Hard,Very Hard,Very Hard,17.9251,17.4609,17.4072,Very Hard,Very Hard,Very Hard
19,1996_T_169,20.6753,20.0187,21.5817,Very Hard,Very Hard,Very Hard,16.2665,15.9151,16.6438,Very Hard,Hard,Very Hard
20,2000_C_151,20.6087,23.526,23.2497,Very Hard,Very Hard,Very Hard,16.8955,18.5102,18.5597,Very Hard,Very Hard,Very Hard
21,2000_V_80,20.0133,24.5365,22.7365,Very Hard,Very Hard,Very Hard,16.2205,18.4037,17.4914,Very Hard,Very Hard,Very Hard
22,2001_A_234,21.0355,20.6064,20.5364,Very Hard,Very Hard,Very Hard,16.7687,16.5785,16.5448,Very Hard,Very Hard,Very Hard
23,2001_S_1131,16.6046,18.1777,17.3112,Hard,Very Hard,Very Hard,14.1588,15.1752,14.7424,Hard,Hard,Hard
24,2004_C_129,18.0892,18.9521,19.1344,Very Hard,Very Hard,Very Hard,15.1947,15.827,15.968,Hard,Hard,Hard
25,2004_I_24,16.2702,14.6409,15.5616,Hard,Hard,Hard,14.0658,13.0,13.6543,Hard,Hard,Hard
26,2005_S_388,19.7131,20.2399,20.116,Very Hard,Very Hard,Very Hard,15.9785,16.2288,16.1789,Hard,Very Hard,Very Hard
