case_num,metric,original_judgement,ground_truth,locknkey
1,flesch,45.9238,44.7036,45.3126
1,fog,18.4005,17.747,17.5627
1,smog,14.6569,14.5777,14.5931
1,proposed,33.3333,33.3333,33.3333
2,flesch,50.7857,50.7265,52.0377
2,fog,17.0691,16.7469,16.3146
2,smog,14.3447,14.4564,14.1484
2,proposed,33.3333,33.3333,33.3333
3,flesch,40.2748,44.5939,44.8154
3,fog,19.2927,17.3812,17.0307
3,smog,15.6823,14.5501,14.4018
3,proposed,33.3333,33.3333,33.3333
4,flesch,49.0328,63.6693,63.8138
4,fog,17.3747,12.2894,12.1885
4,smog,14.4556,11.4096,11.3427
4,proposed,33.3333,33.3333,33.3333
5,flesch,45.1755,47.3809,50.7931
5,fog,19.2911,17.9953,16.7715
5,smog,15.5116,14.8218,14.1316
5,proposed,33.3334,33.3333,33.3334
6,flesch,42.49,44.4086,46.0211
6,fog,20.4687,18.8341,18.3835
6,smog,15.7279,15.3828,15.0416
6,proposed,33.3333,33.3334,33.3333
7,flesch,43.3691,50.0658,46.4629
7,fog,17.906,15.071,15.9592
7,smog,15.07,13.3158,13.9265
7,proposed,33.3333,33.3333,33.3333
8,flesch,31.2156,25.1821,26.0352
8,fog,24.2371,26.8772,26.587
8,smog,17.8641,19.3639,19.1688
8,proposed,33.3334,33.3333,33.3333
9,flesch,11.5253,17.621,21.3423
9,fog,30.9606,28.3348,26.7951
9,smog,20.6173,19.7102,19.2384
9,proposed,33.3333,33.3333,33.3333
10,flesch,39.5475,37.8196,37.9408
10,fog,19.6425,20.0325,19.7989
10,smog,16.0365,16.3429,16.2485
10,proposed,33.3333,33.3333,33.3333
11,flesch,36.6074,42.4115,42.2639
11,fog,19.6654,17.4682,17.4379
11,smog,16.214,14.9435,14.9272
11,proposed,33.3333,33.3333,33.3333
12,flesch,45.3556,43.7459,43.7357
12,fog,17.479,18.6952,18.7255
12,smog,14.3826,15.0,15.0185
12,proposed,33.3333,33.3334,33.3333
13,flesch,51.8395,53.7629,51.1457
13,fog,17.1798,16.5439,17.6295
13,smog,14.2966,14.005,14.5109
13,proposed,33.3333,33.3333,33.3333
14,flesch,39.9801,38.5989,39.5514
14,fog,18.7824,18.8644,18.5703
14,smog,15.3762,15.2474,15.1321
14,proposed,33.3333,33.3333,33.3333
15,flesch,35.8272,37.8441,38.4214
15,fog,23.0542,22.0606,22.1871
15,smog,16.3429,15.9099,15.682
15,proposed,33.3333,33.3333,33.3333
16,flesch,39.6244,31.401,31.8952
16,fog,19.524,22.2171,22.2877
16,smog,16.1673,17.8083,17.7912
16,proposed,33.3333,33.3333,33.3333
17,flesch,41.6826,45.643,44.0456
17,fog,19.111,16.9877,17.807
17,smog,15.6138,14.2969,14.7072
17,proposed,33.3333,33.3333,33.3334
18,flesch,27.8362,30.732,30.999
18,fog,25.0798,23.6769,23.5086
18,smog,17.9251,17.4609,17.4072
18,proposed,33.3333,33.3333,33.3333
19,flesch,40.074,41.3227,37.5095
19,fog,20.6753,20.0187,21.5817
19,smog,16.2665,15.9151,16.6438
19,proposed,33.3333,33.3333,33.3333
20,flesch,34.0361,27.2228,27.5978
20,fog,20.6087,23.526,23.2497
20,smog,16.8955,18.5102,18.5597
20,proposed,33.3333,33.3333,33.3333
21,flesch,38.4504,26.8827,31.9559
21,fog,20.0133,24.5365,22.7365
21,smog,16.2205,18.4037,17.4914
21,proposed,33.3333,33.3333,33.3333
22,flesch,37.5434,38.1907,38.1691
22,fog,21.0355,20.6064,20.5364
22,smog,16.7687,16.5785,16.5448
22,proposed,33.3333,33.3333,33.3333
23,flesch,50.6566,46.559,47.5753
23,fog,16.6046,18.1777,17.3112
23,smog,14.1588,15.1752,14.7424
23,proposed,33.3333,33.3333,33.3333
24,flesch,43.1303,39.5825,38.7554
24,fog,18.0892,18.9521,19.1344
24,smog,15.1947,15.827,15.968
24,proposed,33.3333,33.3333,33.3333
25,flesch,48.6244,50.075,48.7745
25,fog,16.2702,14.6409,15.5616
25,smog,14.0658,13.0,13.6543
25,proposed,33.3333,33.3333,33.3333
26,flesch,41.4737,39.8812,40.1739
26,fog,19.7131,20.2399,20.116
26,smog,15.9785,16.2288,16.1789
26,proposed,33.3333,33.3333,33.3333
27,flesch,43.1102,47.5729,47.2354
27,fog,17.8673,16.5301,16.6512
27,smog,14.9324,14.2619,14.3494
27,proposed,33.3333,33.3334,33.3333
28,flesch,40.6737,47.1773,37.1935
28,fog,18.7472,16.7454,20.1876
28,smog,15.723,14.4478,16.6107
28,proposed,33.3334,33.3333,33.3333
29,flesch,37.2734,45.1722,44.3949
29,fog,20.6936,17.6333,18.1284
29,smog,16.2209,14.5031,14.7473
29,proposed,33.3333,33.3333,33.3333
30,flesch,49.5278,39.5952,38.5825
30,fog,17.2223,20.6012,20.8463
30,smog,14.1041,15.8558,16.0846
30,proposed,33.3333,33.3333,33.3333
31,flesch,47.7635,47.2194,48.6854
31,fog,17.3988,17.3414,16.7345
31,smog,14.5719,14.4018,14.1243
31,proposed,33.3333,33.3333,33.3334
32,flesch,46.5323,41.81,43.8697
32,fog,17.8121,19.5039,18.7484
32,smog,14.9615,16.0192,15.6323
32,proposed,33.3333,33.3333,33.3333
33,flesch,45.3818,49.7061,49.7831
33,fog,19.2082,17.9986,18.1697
33,smog,15.3555,14.7861,14.7861
33,proposed,33.3333,33.3334,33.3334
34,flesch,40.3173,36.0661,36.4044
34,fog,20.0769,21.2684,21.1652
34,smog,15.7519,16.7386,16.6875
34,proposed,33.3333,33.3334,33.3333
35,flesch,43.9346,48.6392,42.3475
35,fog,18.4263,16.4592,18.4778
35,smog,14.8383,14.0424,15.1655
35,proposed,33.3333,33.3333,33.3333
36,flesch,41.6749,42.9178,40.9606
36,fog,20.3484,20.106,20.8367
36,smog,16.373,16.2032,16.6208
36,proposed,33.3333,33.3333,33.3333
37,flesch,48.2732,50.1422,51.4719
37,fog,17.9697,16.7012,16.207
37,smog,14.8718,14.2052,13.9545
37,proposed,33.3333,33.3333,33.3333
38,flesch,44.5269,46.0669,37.0854
38,fog,18.6523,17.3795,20.8913
38,smog,15.1367,14.6478,16.5804
38,proposed,33.3334,33.3333,33.3333
39,flesch,36.1782,25.8366,27.1898
39,fog,23.047,26.7713,26.3173
39,smog,16.9313,18.8251,18.6402
39,proposed,33.3334,33.3333,33.3333
40,flesch,40.892,40.5734,41.0868
40,fog,19.5248,18.467,18.2939
40,smog,15.9465,15.4663,15.3807
40,proposed,33.3333,33.3333,33.3333
41,flesch,49.1785,52.2528,62.1169
41,fog,17.4986,15.6785,13.159
41,smog,14.532,13.6668,11.9546
41,proposed,33.3333,33.3333,33.3333
42,flesch,36.5037,38.816,38.816
42,fog,21.0831,19.7617,19.7617
42,smog,16.5717,16.1241,16.1241
42,proposed,33.3333,33.3333,33.3333
43,flesch,42.9338,48.7637,41.3702
43,fog,20.2031,17.5773,20.8182
43,smog,15.4482,14.1631,15.6384
43,proposed,33.3333,33.3333,33.3333
44,flesch,43.4872,37.7761,37.1953
44,fog,18.4783,20.873,21.1077
44,smog,15.0364,16.4895,16.6015
