word,frequency,zipf_score,doc_frequency,doc_ratio,corpus_importance,domain_specificity
appellant,1408,2.82,115,0.767,0.3506,382.7896
respondent,1102,3.09,97,0.647,0.2744,230.6235
accused,1025,4.46,46,0.307,0.2552,70.4783
indlaw,572,0.0,106,0.707,0.1424,404.2133
appellants,569,2.42,55,0.367,0.1417,86.2121
dated,516,4.29,85,0.567,0.1285,68.1585
provisions,504,4.12,92,0.613,0.1255,75.0291
filed,422,4.49,118,0.787,0.1051,73.9362
respondents,394,3.78,47,0.313,0.0981,32.6596
offence,369,3.96,47,0.313,0.0919,29.197
possession,350,4.38,46,0.307,0.0871,24.5053
persons,335,4.43,74,0.493,0.0834,37.3062
judgment,334,4.28,93,0.62,0.0832,48.3832
counsel,333,4.16,84,0.56,0.0829,44.8269
tribunal,325,3.88,39,0.26,0.0809,21.7784
tenant,297,3.78,16,0.107,0.0739,8.381
regard,291,4.36,85,0.567,0.0725,37.8211
scc,286,2.82,66,0.44,0.0712,44.6241
petitioners,281,2.82,17,0.113,0.07,11.2931
compensation,272,4.33,29,0.193,0.0677,12.1447
writ,267,3.3,58,0.387,0.0665,31.2848
petition,266,4.3,71,0.473,0.0662,29.2806
ltd,259,4.47,52,0.347,0.0645,20.0865
prosecution,255,4.06,37,0.247,0.0635,15.4926
deceased,253,3.96,33,0.22,0.063,14.0556
jurisdiction,252,4.1,61,0.407,0.0627,24.9951
offences,243,3.65,29,0.193,0.0605,12.8712
statute,232,3.83,107,0.713,0.0578,43.2097
thereof,219,3.74,64,0.427,0.0545,24.984
consideration,218,4.28,74,0.493,0.0543,25.1277
favour,211,4.31,74,0.493,0.0525,24.1516
aforesaid,203,2.6,67,0.447,0.0505,34.8744
ipc,197,2.96,32,0.213,0.049,14.1982
collector,194,3.91,31,0.207,0.0483,10.254
acquisition,187,4.26,33,0.22,0.0466,9.6573
behalf,183,4.42,64,0.427,0.0456,17.6652
provision,181,4.14,66,0.44,0.0451,19.2367
singh,180,4.04,43,0.287,0.0448,12.7723
statutory,175,3.76,53,0.353,0.0436,16.445
marks,175,4.49,20,0.133,0.0436,5.1967
premises,174,4.02,27,0.18,0.0433,7.791
thereafter,174,3.97,90,0.6,0.0433,26.2972
registration,170,4.32,22,0.147,0.0423,5.7716
submitted,167,4.32,64,0.427,0.0416,16.4938
dispute,165,4.27,57,0.38,0.0411,14.6838
bench,163,4.39,53,0.353,0.0406,13.1192
dismissed,162,4.2,69,0.46,0.0403,17.7429
copyright,161,4.24,7,0.047,0.0401,1.772
nos,158,3.52,37,0.247,0.0393,11.072
proprietor,156,3.31,13,0.087,0.0388,4.0846
appellate,156,3.34,33,0.22,0.0388,10.2754
appeals,155,4.22,44,0.293,0.0386,10.7741
courts,153,4.46,50,0.333,0.0381,11.435
notification,153,3.92,36,0.24,0.0381,9.3673
herein,153,3.66,52,0.347,0.0381,14.4918
revision,153,3.82,27,0.18,0.0381,7.2094
intention,152,4.33,52,0.347,0.0378,12.1694
witnesses,152,4.29,34,0.227,0.0378,8.0311
serial,152,4.23,4,0.027,0.0378,0.9582
proceedings,151,4.18,61,0.407,0.0376,14.6906
partnership,149,4.48,13,0.087,0.0371,2.8824
charter,148,4.23,7,0.047,0.0368,1.6328
alleged,148,4.37,55,0.367,0.0368,12.418
aggrieved,146,2.9,50,0.333,0.0364,16.7816
conviction,146,4.14,34,0.227,0.0364,7.9936
bombay,146,3.65,37,0.247,0.0364,9.8667
impugned,142,2.1,48,0.32,0.0354,21.6381
widow,142,4.08,6,0.04,0.0354,1.3922
absence,141,4.34,69,0.46,0.0351,14.9447
fishery,140,3.22,4,0.027,0.0349,1.1594
merely,139,4.37,70,0.467,0.0346,14.8436
contention,138,3.73,51,0.34,0.0344,12.5791
relation,138,4.31,49,0.327,0.0344,10.4594
contended,138,3.14,58,0.387,0.0344,16.9936
observed,137,4.39,57,0.38,0.0341,11.8588
conclusion,137,4.4,57,0.38,0.0341,11.8318
patent,135,4.18,20,0.133,0.0336,4.3062
amendment,133,4.38,26,0.173,0.0331,5.2633
scales,129,3.98,7,0.047,0.0321,1.5126
bulk,129,4.19,3,0.02,0.0321,0.6158
relating,129,4.21,62,0.413,0.0321,12.6651
commissioner,128,4.43,27,0.18,0.0319,5.2009
notified,127,3.83,20,0.133,0.0316,4.4212
appointment,127,4.49,28,0.187,0.0316,5.2799
decree,127,3.82,29,0.193,0.0316,6.4276
prescribed,123,3.91,41,0.273,0.0306,8.5985
acquired,123,4.4,49,0.327,0.0306,9.1318
principles,122,4.42,50,0.333,0.0304,9.2006
plaintiff,122,3.55,17,0.113,0.0304,3.8948
sections,122,4.36,54,0.36,0.0304,10.0734
bengal,122,3.68,14,0.093,0.0304,3.0942
payable,121,3.5,33,0.22,0.0301,7.6057
sufficient,121,4.32,56,0.373,0.0301,10.4568
lands,120,4.37,27,0.18,0.0299,4.9428
procedure,119,4.44,53,0.353,0.0296,9.47
imprisonment,119,3.89,31,0.207,0.0296,6.3222
mehta,118,2.97,13,0.087,0.0294,3.4433
inter,117,4.16,51,0.34,0.0291,9.5625
workmen,117,2.92,9,0.06,0.0291,2.4041
aicte,116,1.78,3,0.02,0.0289,1.3034
bonus,116,4.45,8,0.053,0.0289,1.3903
jagir,115,1.53,3,0.02,0.0286,1.5033
magistrate,113,3.71,32,0.213,0.0281,6.4978
therein,111,3.42,59,0.393,0.0276,12.7661
devi,110,3.07,11,0.073,0.0274,2.6276
inquiry,110,4.25,21,0.14,0.0274,3.6235
wage,109,4.44,9,0.06,0.0271,1.473
sought,108,4.49,62,0.413,0.0269,9.9421
examined,108,4.1,49,0.327,0.0269,8.6049
deemed,107,4.19,35,0.233,0.0266,5.9586
paragraph,105,4.03,19,0.127,0.0261,3.3002
accordance,105,4.13,51,0.34,0.0261,8.6441
dowry,105,3.13,6,0.04,0.0261,1.3419
examination,104,4.26,41,0.273,0.0259,6.6729
nalban,103,0.0,4,0.027,0.0256,2.7467
gujarat,103,3.54,19,0.127,0.0256,3.6855
