word,frequency,zipf_score,doc_frequency,doc_ratio,corpus_importance,domain_specificity
court,2897,5.41,150,1.0,0.7213,535.4898
act,1786,5.3,128,0.853,0.4447,287.5572
section,1506,5.0,103,0.687,0.375,206.824
order,1334,5.49,125,0.833,0.3321,202.4894
appeal,748,4.67,122,0.813,0.1862,130.2727
evidence,710,5.14,74,0.493,0.1768,68.1453
land,692,5.22,53,0.353,0.1723,46.8404
shall,692,5.03,106,0.707,0.1723,97.2194
learned,585,4.85,99,0.66,0.1457,79.6082
whether,579,5.32,125,0.833,0.1442,90.6955
question,572,5.35,120,0.8,0.1424,85.5327
therefore,550,4.87,126,0.84,0.1369,94.8665
law,534,5.46,118,0.787,0.133,76.9377
view,468,5.19,115,0.767,0.1165,69.1329
given,438,5.41,113,0.753,0.1091,60.9908
respect,431,5.03,98,0.653,0.1073,55.9814
held,430,5.24,111,0.74,0.1071,60.7252
taken,429,5.33,118,0.787,0.1068,63.3171
facts,419,4.72,144,0.96,0.1043,85.2203
fact,412,5.41,103,0.687,0.1026,52.2933
decision,409,5.09,87,0.58,0.1018,46.6051
period,408,5.21,86,0.573,0.1016,44.8983
authority,406,4.81,79,0.527,0.1011,44.4546
application,405,4.86,75,0.5,0.1008,41.6667
registered,393,4.52,66,0.44,0.0978,38.2566
property,384,5.11,71,0.473,0.0956,35.5695
suit,377,4.7,52,0.347,0.0939,27.8071
upon,377,5.12,108,0.72,0.0939,53.0156
date,365,5.22,84,0.56,0.0909,39.1571
sub,357,4.66,76,0.507,0.0889,38.8155
special,353,5.34,85,0.567,0.0879,37.4594
further,345,5.31,103,0.687,0.0859,44.6139
judge,335,4.95,78,0.52,0.0834,35.1919
circumstances,329,4.59,101,0.673,0.0819,48.2629
stated,324,4.74,102,0.68,0.0807,46.481
terms,322,5.1,85,0.567,0.0802,35.7778
basis,302,4.81,90,0.6,0.0752,37.6715
trial,301,4.87,48,0.32,0.0749,19.7782
within,299,5.44,98,0.653,0.0744,35.9093
india,296,5.04,80,0.533,0.0737,31.3228
claim,295,4.95,70,0.467,0.0734,27.8114
matter,292,5.38,101,0.673,0.0727,36.5452
parties,291,4.89,81,0.54,0.0725,32.135
notice,290,4.9,62,0.413,0.0722,24.4626
rights,288,5.19,58,0.387,0.0717,21.4566
party,283,5.49,59,0.393,0.0705,20.2757
entitled,283,4.51,82,0.547,0.0705,34.303
purpose,276,4.88,92,0.613,0.0687,34.6885
grant,274,4.67,44,0.293,0.0682,17.2106
officer,273,5.03,66,0.44,0.068,23.8807
constitution,269,4.56,67,0.447,0.067,26.3494
present,265,5.18,84,0.56,0.066,28.6486
interest,264,5.17,62,0.413,0.0657,21.1064
code,263,5.08,51,0.34,0.0655,17.6024
amount,261,5.13,73,0.487,0.065,24.7602
passed,256,4.92,70,0.467,0.0637,24.2818
charge,253,5.02,39,0.26,0.063,13.1036
thus,252,4.91,85,0.567,0.0627,29.0835
issue,252,5.23,124,0.827,0.0627,39.8317
death,239,5.4,42,0.28,0.0595,12.3926
justice,238,4.97,62,0.413,0.0593,19.7934
rules,236,5.06,56,0.373,0.0588,17.4124
nature,235,4.98,73,0.487,0.0585,22.9652
pay,226,5.4,66,0.44,0.0563,18.4148
necessary,226,4.91,83,0.553,0.0563,25.4691
orders,226,4.73,66,0.44,0.0563,21.0233
committed,222,4.65,55,0.367,0.0553,17.5054
rule,216,4.94,62,0.413,0.0538,18.0729
art,216,5.29,41,0.273,0.0538,11.1607
concerned,214,4.75,83,0.553,0.0533,24.9291
benefit,212,4.82,51,0.34,0.0528,14.9544
relevant,212,4.61,85,0.567,0.0528,26.0593
effect,212,5.02,77,0.513,0.0528,21.6786
required,212,5.02,87,0.58,0.0528,24.494
clear,211,5.25,90,0.6,0.0525,24.1143
non,211,5.29,58,0.387,0.0525,15.4228
civil,207,4.93,54,0.36,0.0515,15.1156
paid,205,5.12,52,0.347,0.051,13.8802
above,201,5.2,82,0.547,0.05,21.1308
considered,198,5.08,93,0.62,0.0493,24.1654
subject,194,4.96,73,0.487,0.0483,19.0349
according,194,5.28,77,0.513,0.0483,18.8611
issued,189,4.73,72,0.48,0.0471,19.1797
following,188,5.46,68,0.453,0.0468,15.6093
board,187,5.24,49,0.327,0.0466,11.6578
per,187,5.45,65,0.433,0.0466,14.8685
certain,186,5.16,81,0.54,0.0463,19.4651
report,186,5.32,58,0.387,0.0463,13.5188
agreement,185,4.88,45,0.3,0.0461,11.373
particular,185,5.0,64,0.427,0.0461,15.7867
statement,184,4.97,59,0.393,0.0458,14.562
words,182,5.25,64,0.427,0.0453,14.7911
various,180,5.12,69,0.46,0.0448,16.1719
ground,180,5.15,76,0.507,0.0448,17.7087
